"store_code","ip"
"5002","10.128.0.65"
"5005","10.128.50.65"
"5013","10.128.2.65"
"5015","10.128.4.65"
"5017","10.128.8.65"
"5018","10.128.12.65"
"5019","10.128.10.65"
"5020","10.128.16.65"
"5021","10.128.14.65"
"5022","10.128.18.65"
"5023","10.128.22.65"
"5026","10.128.46.65"
"5028","10.128.76.65"
"5029","10.128.32.65"
"5032","10.128.40.65"
"5033","10.128.30.65"
"5034","10.128.34.65"
"5036","10.128.38.65"
"5037","10.128.36.65"
"5038","10.128.42.65"
"5040","10.128.44.65"
"5043","10.128.52.65"
"5044","10.128.66.65"
"5045","10.128.54.65"
"5046","10.128.56.65"
"5047","10.128.60.65"
"5049","10.128.58.65"
"5051","10.128.62.65"
"5052","10.128.64.65"
"5053","10.128.68.65"
"5054","10.128.70.65"
"5059","10.128.80.65"
"5060","10.128.78.65"
"5061","10.128.82.65"
"5063","10.128.84.65"
"5064","10.128.88.65"
"5065","10.128.90.65"
"5066","10.128.92.65"
"5069","10.128.94.65"
"5070","10.128.96.65"
"5071","10.128.98.65"
